elapsed_seconds,alpha,theta,beta,stillness,valid
244,0.16627249628149407,0.16439216505769877,0.2328338941896483,0.9831493928163373,1
245,0.16280876088482282,0.17669589591442014,0.23011814911701384,0.9830179028772941,1
246,0.16411160468874547,0.17680475540547266,0.2255811558293122,0.9829197122042422,1
247,0.16669774921146088,0.17635341212038383,0.222064566263885,0.9829521461140907,1
248,0.1685581289000967,0.17770256511404334,0.2198854196312962,0.9830088108381432,1
249,0.17004643265100536,0.17878188750897092,0.21814210232522518,0.9826729920850213,1
250,0.17123707565173227,0.179645345424913,0.21674744848036837,0.98250992776792,1
251,0.17218959005231382,0.18033611175766667,0.21563172540448292,0.9825772915789505,1
252,0.17295160157277906,0.18088872482386958,0.21473914694377455,0.982595419181469,1
253,0.17356121078915124,0.18133081527683192,0.21402508417520785,0.9828316145201115,1
254,0.16965388449553515,0.17738483128544044,0.21345061887575154,0.9829250463672405,1
255,0.16465076986562277,0.17372278059316018,0.21581244342184538,0.9826606321169556,1
256,0.15678742350956248,0.16866250936651273,0.2262747022803131,0.9825852709759335,1
257,0.15566257244702575,0.15944319598212256,0.22884393647521606,0.9824728152731972,1
258,0.15306016541819434,0.1525734713305034,0.22701869461700175,0.9825059957647461,1
259,0.15065725296257412,0.14713659638503407,0.22513370212366463,0.9822719108574965,1
260,0.14873492299807795,0.1427870964286586,0.2236257081289949,0.9822651358078457,1
261,0.147197059026481,0.13930749646355825,0.22241931293325914,0.9822848775957782,1
262,0.14596676784920345,0.13652381649147796,0.22145419677667053,0.9822176640244321,1
263,0.14498253490738142,0.13429687251381373,0.22068210385139964,0.9821372298484325,1
264,0.14742630898119136,0.14042783630292482,0.21477633128976734,0.9814429950427367,1
265,0.15167134328364484,0.1505497880818689,0.2063393586983193,0.9818931799738516,1
266,0.1544587016434012,0.15934210468775603,0.20136217456659097,0.9819677036942964,1
267,0.15668858833120627,0.16637595797246577,0.19738042726120833,0.9815360120616451,1
268,0.15847249768145033,0.17200304060023355,0.1941950294169022,0.9818230290114511,1
269,0.15801086755236904,0.17149535955716882,0.19842256213573808,0.9816701922829711,1
270,0.16013362192843245,0.15996102046600696,0.21504419724383708,0.981816225403762,1
271,0.1564823713676819,0.14140885453038424,0.2374484991142463,0.9818002717841258,1
272,0.15261549838627705,0.12576337481868488,0.2560908788534424,0.98170840683582,1
273,0.14952200000115318,0.11324699104932541,0.27100478264479927,0.9814612157568976,1
274,0.14704720129305407,0.10323388403383783,0.2829359056778848,0.981582154259697,1
275,0.14506736232657477,0.09522339842144777,0.2924808041043532,0.9819511066569239,1
276,0.14348349115339135,0.08881500993153572,0.30011672284552793,0.9823151911008764,1
277,0.1422163942148446,0.08368829913960608,0.3062254578384677,0.9825933258239129,1
278,0.14120271666400722,0.07958693050606237,0.31111244583281955,0.9828408349878567,1
279,0.1403917746233373,0.0763058355992274,0.315022036228301,0.9831159173111043,1
280,0.13974302099080135,0.07368095967375943,0.31814970854468616,0.982410187439814,1
281,0.1392240180847726,0.07158105893338505,0.3206518463977943,0.9824566506080097,1
282,0.1388088157599496,0.06990113834108555,0.3226535566802808,0.982699113373134,1
283,0.1384766539000912,0.06855720186724594,0.32425492490627,0.9828730811193557,1
284,0.13821092441220448,0.06748205268817425,0.32553601948706135,0.9827001228018027,1
285,0.1379983408218951,0.06662193334491691,0.32656089515169445,0.9829204186917202,1
286,0.1378282739496476,0.06593383787031103,0.3273807956834009,0.9825835984676955,1
287,0.13769222045184962,0.06538336149062633,0.32803671610876606,0.9826618156882847,1
288,0.13758337765361123,0.06494298038687857,0.3285614524490582,0.982670533586887,1
289,0.1374963034150205,0.06459067550388035,0.32898124152129193,0.9829006824578903,1
290,0.13742664402414792,0.06430883159748178,0.3293170727790789,0.9825057555279095,1
291,0.13787635905457526,0.06528606178450265,0.32695927619540677,0.982709261098789,1
292,0.14517006003977034,0.0727246234329275,0.31308824475051117,0.9827405626789077,1
293,0.1511384099556274,0.08134337775811135,0.30173352312813073,0.9826074055464025,1
294,0.15579544685322172,0.08831709089629568,0.29262404978743,0.9826031098201111,1
295,0.15952107637129717,0.09389606140684315,0.2853364711148694,0.9823356523245957,1
296,0.16250157998575754,0.09835923781528111,0.279506408176821,0.9824806411463758,1
297,0.16488598287732584,0.10192977894203148,0.2748423578263822,0.9825699394055929,1
298,0.16679350519058048,0.10478621184343179,0.27111111754603123,0.9825530765233046,1
299,0.1683195230411842,0.10707135816455203,0.2681261253217504,0.9826313155872451,1
300,0.16954033732166715,0.10889947522144822,0.26573813154232573,0.9824600084109035,1
301,0.17051698874605353,0.11036196886696517,0.26382773651878605,0.9825986001971974,1
302,0.17129830988556263,0.11153196378337873,0.26229942049995425,0.9828383790948477,1
303,0.1719233667971699,0.11246795971650958,0.26107676768488886,0.9826512998111883,1
304,0.17242341232645572,0.11321675646301427,0.2600986454328365,0.9828687348066178,1
305,0.17282344874988437,0.113815793860218,0.25931614763119465,0.9794839839521916,1
306,0.1731434778886273,0.114295023777981,0.25869014938988116,0.9829319859314715,1
307,0.17339950119962164,0.1146784077121914,0.25818935079683036,0.9839144009096377,1
308,0.17360431984841712,0.11498511485955971,0.2577887119223897,0.9836887926429734,1
309,0.1737681747674535,0.11523048057745437,0.2574682008228372,0.9837474941097817,1
310,0.17389925870268258,0.11542677315177009,0.2572117919431952,0.9837516801444618,1
311,0.17400412585086586,0.11558380721122267,0.2570066648394816,0.9833111190066981,1
312,0.1740880195694125,0.11570943445878473,0.2568425631565107,0.9830627755615967,1
313,0.1741551345442498,0.11580993625683439,0.25671128181013403,0.983141437976805,1
314,0.17460206856645955,0.1208967712532287,0.24433092705068982,0.9830192398538226,1
315,0.17522177714578727,0.1283038616223139,0.22624309012157254,0.9829748600250455,1
316,0.17571754400924944,0.13422953391758202,0.21177282057827873,0.9827439985943924,1
317,0.1873413141054156,0.13695907762157739,0.2015574869163126,0.9829655452242552,1
318,0.1924249951298601,0.13624149132157437,0.1955959256709052,0.9829329550136696,1
319,0.17697894294849056,0.13525237622400285,0.19248166511576156,0.9831679203876471,1
320,0.1646221012033949,0.13446108414594563,0.18999025667164665,0.9831626382070382,1
321,0.1547366278073184,0.13382805048349986,0.18799712991635473,0.9833744828400778,1
322,0.1472280446455041,0.1333258938202441,0.18611901562756175,0.9832923334647425,1
323,0.15060690108823865,0.13172825354687204,0.18381489937117923,0.9828615618645556,1
324,0.17216306053750857,0.12823591992935723,0.18020210423236177,0.9827754091747329,1
325,0.18218190295602787,0.1283710090822035,0.1795262359166743,0.9827363569604016,1
326,0.1822239683043105,0.12905261886507527,0.1899232523266666,0.9831515443177897,1
327,0.18350811051024613,0.1228237414184409,0.20154726342096457,0.9831649712861674,1
328,0.18826028330669844,0.11703938094712088,0.20909805052540467,0.9831372866673168,1
329,0.19632970413973036,0.11641033228607693,0.2181930190213663,0.9831841389520306,1
330,0.20229947769107237,0.11513422109312516,0.22534980944427035,0.9831261153224642,1
331,0.20707529653214596,0.11411333213876373,0.23107524178259356,0.9832361300693606,1
332,0.21089595160500485,0.1132966209752746,0.23565558765325215,0.983312673385249,1
333,0.21395247566329195,0.11264325204448329,0.239319864349779,0.9832443020474744,1
334,0.21639769490992164,0.11212055689985025,0.2422512857070005,0.9831546707997021,1
335,0.2183538703072254,0.11170240078414381,0.24459642279277768,0.9831752782043399,1
336,0.21991881062506838,0.11136787589157866,0.24647253246139944,0.9830658422349543,1
